XMID,DBA,Status,Sales Rep,Portfolio,Date Added,Date Approved,Date Assigned,Date Created,Date Submitted,Date Closed,VIPStatus
,8886110871AmericanBod.com,Received,Josh Russell ,PC Commerce,7/21/2022 10:09:14 AM,,,7/21/2022 10:09:15 AM,7/21/2022 10:12:10 AM,,
,8883837021RawMealsUSA.com,Received,Josh Russell ,PC Commerce,7/21/2022 10:02:13 AM,,,7/21/2022 10:02:13 AM,7/21/2022 10:05:15 AM,,
8739299330302352,D'S MOBILE WASH,Approved,Jay Seale,Jay Seale,7/21/2022 9:50:47 AM,7/21/2022 3:58:33 PM,,7/21/2022 9:50:47 AM,7/21/2022 12:09:30 PM,,
8739297330300357,PANDA BREAK,Approved,Yang Li,Yang Li,7/21/2022 9:46:18 AM,7/21/2022 11:19:13 AM,,7/21/2022 9:46:18 AM,7/21/2022 9:46:18 AM,,
,Jim's Auto Repair,Pending,Josh Dempsey,Enhanced Payment Systems LLC,7/21/2022 9:42:36 AM,,,7/21/2022 9:42:37 AM,7/21/2022 9:43:48 AM,,
,Coleman Public House,Draft,Paul Lackey,Ambit Technologies,7/21/2022 9:41:53 AM,,,7/21/2022 9:41:53 AM,,,
554402000694356,Oakes Tire & Service,Approved,Debra   Holt,Enhanced House Accounts,7/21/2022 9:23:52 AM,7/21/2022 10:22:14 AM,,7/21/2022 9:23:52 AM,7/21/2022 9:34:25 AM,,
8739297355300349,CLIFFS QUALITY MEATS,Approved,Bruce Bartolotta,PPS East,7/21/2022 9:18:45 AM,7/21/2022 11:59:12 AM,,7/21/2022 9:18:46 AM,7/21/2022 10:14:31 AM,,
8739299330302351,"CAROLINA PRINTER SERVICE,INC",Approved,JOHNNY WARREN,JOHNNY WARREN,7/21/2022 9:00:03 AM,7/21/2022 3:37:21 PM,,7/21/2022 9:00:03 AM,7/21/2022 9:16:02 AM,,
,Dave's Gas,Received,Mohammad Arif,Mohammad Arif,7/21/2022 8:44:41 AM,,,7/21/2022 8:44:41 AM,7/22/2022 11:33:57 AM,,
,AKAI LIFE LLC,Received,Taylor Treadway,CBD - PAYMENTCLOUD,7/21/2022 8:38:12 AM,,,7/21/2022 8:38:12 AM,7/21/2022 9:32:40 AM,,
,Infinite Shopping Co,Received,Abby  Rodriguez,Digipay,7/21/2022 8:36:52 AM,,,7/21/2022 8:36:52 AM,7/21/2022 8:41:29 AM,,
8739296920300882,BEST QUALITY LIQUOR,Approved,Faheem Bilal,Faheem Bilal - TC,7/21/2022 8:32:24 AM,7/21/2022 3:06:15 PM,,7/21/2022 8:32:24 AM,7/21/2022 10:48:18 AM,,
8739294100300189,CEM TAHIR PA,Approved,Khalid Noohani,Khalid Noohani,7/21/2022 8:21:55 AM,7/21/2022 10:18:44 AM,,7/21/2022 8:21:55 AM,7/21/2022 8:23:44 AM,,
8739298450300912,J-Peno's Cafe,Approved,Cason  Crozier ,Cason Carter Crozier,7/21/2022 12:14:09 AM,7/22/2022 8:51:19 AM,,7/21/2022 12:14:09 AM,7/21/2022 8:42:12 PM,,
,Gaudy Gadgets,Received,Tim Reynolds,HRSS - Swoonlight,7/20/2022 10:57:21 PM,,,7/20/2022 10:57:21 PM,7/20/2022 11:01:19 PM,,
,Zesty Pet Shoppe,Received,Tim Reynolds,HRSS - Swoonlight,7/20/2022 10:50:25 PM,,,7/20/2022 10:50:26 PM,7/20/2022 10:55:10 PM,,
,Auto Rapid Gears,Received,Tim Reynolds,HRSS - Swoonlight,7/20/2022 10:35:53 PM,,,7/20/2022 10:35:53 PM,7/20/2022 10:41:20 PM,,
554402000694349,Norman B Gayle M.D. P.A.,Approved,Robin Summers,Robin Summers,7/20/2022 10:03:21 PM,7/21/2022 9:40:42 AM,,7/20/2022 10:03:21 PM,7/20/2022 10:14:52 PM,,
,Asta Parking,Draft,Chad Tiedt,SimpliPay LLC,7/20/2022 9:19:19 PM,,,7/20/2022 9:19:19 PM,,,
,"Wade's Cyclovac, LLC",Draft,Aaron Miller,Aaron Miller,7/20/2022 9:14:39 PM,,,7/20/2022 9:14:39 PM,,,
,Asta Parking,Draft,Chad Tiedt,SimpliPay LLC,7/20/2022 9:08:59 PM,,,7/20/2022 9:08:59 PM,,,
,Asta Parking,Draft,Chad Tiedt,SimpliPay LLC,7/20/2022 8:57:51 PM,,,7/20/2022 8:57:51 PM,,,
8739290002300645,Island Colors,Approved,Robin J Wood,Robin Wood,7/20/2022 8:53:31 PM,7/21/2022 3:18:22 PM,,7/20/2022 8:53:31 PM,7/21/2022 2:28:20 PM,,
,musclespecific.com,Received,891 5251,8915251,7/20/2022 8:40:36 PM,,,7/20/2022 8:40:36 PM,7/21/2022 11:17:35 AM,,
,Betram's Salmon Valley Brewery,Pending,Bubba Young,Khamu Solutions,7/20/2022 8:17:16 PM,,,7/20/2022 8:17:16 PM,7/20/2022 8:29:31 PM,,
,ketoflexpro.com,Received,891 5251,8915251,7/20/2022 8:13:29 PM,,,7/20/2022 8:13:29 PM,7/20/2022 8:31:14 PM,,
8739299205300196,CHOZA MURRYHILL,Approved,Bubba Young,VPOS - Existing,7/20/2022 7:50:27 PM,7/21/2022 12:18:23 PM,,7/20/2022 7:50:27 PM,7/20/2022 8:04:47 PM,,
8739297430301963,KRISPY KREAM DRIVE IN,Approved,Mike James,Mike James,7/20/2022 7:26:28 PM,7/21/2022 11:53:20 AM,,7/20/2022 7:26:28 PM,7/21/2022 10:55:32 AM,,
8739297430301965,COMMONS HARDWARE INC,Approved,Mike James,Mike James,7/20/2022 7:10:22 PM,7/21/2022 12:29:05 PM,,7/20/2022 7:10:22 PM,7/21/2022 10:55:21 AM,,
,PANDA BREAK,Declined,Yang Li,Yang Li,7/20/2022 7:04:52 PM,,,7/20/2022 7:04:52 PM,7/20/2022 7:04:52 PM,7/21/2022 12:48:01 PM,
,Khrya Blast,Received,Taylor Hibbeler,HRSS - Conexus (Trinity),7/20/2022 7:01:48 PM,,,7/20/2022 7:01:48 PM,7/20/2022 7:07:49 PM,,
8739297430301964,SHELCO SEAFOOD CO,Approved,Mike James,Mike James,7/20/2022 6:39:19 PM,7/21/2022 12:28:53 PM,,7/20/2022 6:39:19 PM,7/21/2022 10:54:39 AM,,
8739299330302345,BAUTISTA WINDOW TINT,Approved,Nikki Smith,Nikki Smith,7/20/2022 6:12:34 PM,7/21/2022 7:02:43 AM,,7/20/2022 6:12:34 PM,7/20/2022 6:23:27 PM,,
554402000694281,Cielito Lindo Interior Mexican Cuisine,Approved,bill espinosa,BILL ESPINOSA,7/20/2022 6:01:30 PM,7/21/2022 6:23:44 AM,,7/20/2022 6:01:30 PM,7/20/2022 6:14:30 PM,,
,THE SHIPPING POST,Draft,Jonathan Gallup,Jonathan Gallup,7/20/2022 5:54:22 PM,,,7/20/2022 5:54:22 PM,,,
56310000007937,Ellijay Trump Store,Closed,Tom Johnson,Tom Johnson,7/20/2022 5:53:52 PM,7/21/2022 3:16:24 PM,,7/20/2022 5:53:52 PM,7/20/2022 10:30:32 PM,7/22/2022 9:31:06 AM,
,Asta Parking,Draft,Chad Tiedt,SimpliPay LLC,7/20/2022 5:51:52 PM,,,7/20/2022 5:51:52 PM,,,
,Asta Parking,Draft,Chad Tiedt,SimpliPay LLC,7/20/2022 5:37:35 PM,,,7/20/2022 5:37:35 PM,,,
554402050040690,PARTY MEX DULCES - PINATAS,Approved,Braeden Fustos,Braeden Fustos,7/20/2022 5:34:09 PM,7/21/2022 7:56:56 AM,,7/20/2022 5:34:09 PM,7/20/2022 5:56:49 PM,,
,Splendid Skinny,Received,Ella Smith,"HRSS - Adept Payments, Inc",7/20/2022 5:15:37 PM,,,7/20/2022 5:15:37 PM,7/20/2022 5:19:01 PM,,
