XMID,DBA,Status,Sales Rep,Portfolio,Date Added,Date Approved,Date Assigned,Date Created,Date Submitted,Date Closed,VIPStatus
8739299330302336,WILLIES HOMEMADE SALSA,Approved,DONNA  ROLLINS,DONNA ROLLINS,7/20/2022 9:57:06 AM,7/20/2022 1:35:02 PM,,7/20/2022 9:57:06 AM,7/20/2022 10:11:52 AM,,
,Log Cabin- Delaney MOTO,Pending,Macy  Schoonover,"Kick Fees, LLC",7/20/2022 9:55:43 AM,,,7/20/2022 9:55:43 AM,7/20/2022 10:35:43 AM,,
8739298245300114,Magic Transmission Inc,Approved,Mitch Smith,Mitchal Smith,7/20/2022 9:52:12 AM,7/21/2022 8:51:13 AM,,7/20/2022 9:52:12 AM,7/20/2022 10:03:19 AM,,
8739297330300356,Sunlight Massage,Approved,Aaron Huang,Aaron Huang(Hao Yuan),7/20/2022 9:37:14 AM,7/20/2022 11:27:09 AM,,7/20/2022 9:37:14 AM,7/20/2022 9:37:14 AM,,
,RAMO AUTOMOTIVE,Pending,TIFFANY  KENISON,TIFFANY KENISON,7/20/2022 9:34:57 AM,,,7/20/2022 9:34:57 AM,7/20/2022 9:48:35 AM,,
554402000694224,VISION QUEST TATTOO,Approved,Jonathan Gallup,Jonathan Gallup,7/20/2022 9:21:37 AM,7/20/2022 4:18:37 PM,,7/20/2022 9:21:37 AM,7/20/2022 10:05:27 AM,,
8739299330302337,R.S. WINDOWS TINTING & AUTO ACCESSORIES INC,Approved,Emanuel  Drakes,Emanuel Drakes,7/20/2022 9:21:06 AM,7/20/2022 3:15:42 PM,,7/20/2022 9:21:06 AM,7/20/2022 11:35:36 AM,,
8739299330302331,SUBZI MANDI,Approved,AMBER  RILEY ,AMBER RILEY,7/20/2022 9:17:09 AM,7/20/2022 9:53:23 AM,,7/20/2022 9:17:09 AM,7/20/2022 9:28:49 AM,,
,reudilastingrushdiet.biz,Received,Seth Proper,HRSS - MerchantX LLC,7/20/2022 9:16:13 AM,,,7/20/2022 9:16:13 AM,7/20/2022 9:21:16 AM,,
,reudilastingmuscleshop.shop,Received,Seth Proper,HRSS - MerchantX LLC,7/20/2022 9:09:09 AM,,,7/20/2022 9:09:09 AM,7/20/2022 9:13:16 AM,,
,East Alabama Apothecary Specialty Pharmacy,Draft,Mike Davenport,Mike Davenport,7/20/2022 8:56:24 AM,,,7/20/2022 8:56:24 AM,,,
56310000007924,ProGreen Garden Center,Approved,Joe McKee,Priority Payments Midwest,7/20/2022 8:55:52 AM,7/20/2022 6:17:29 PM,,7/20/2022 8:55:52 AM,7/20/2022 3:09:14 PM,,
,reudilastingcleanglow.website,Received,Seth Proper,HRSS - MerchantX LLC,7/20/2022 8:49:51 AM,,,7/20/2022 8:49:51 AM,7/20/2022 9:08:03 AM,,
,jet it llc,Draft,Steve Pollack,ACCPC - Steve Pollack,7/20/2022 8:29:54 AM,,,7/20/2022 8:29:54 AM,,,
,Supreme Gift Brands,Received,Tim Reynolds,HRSS - Swoonlight,7/20/2022 1:46:31 AM,,,7/20/2022 1:46:31 AM,7/20/2022 1:50:34 AM,,
,Premier Amaze Labs,Received,Tim Reynolds,HRSS - Swoonlight,7/20/2022 1:19:50 AM,,,7/20/2022 1:19:51 AM,7/20/2022 1:25:18 AM,,
,Device Expression Unlimited,Received,Tim Reynolds,HRSS - Swoonlight,7/20/2022 1:04:29 AM,,,7/20/2022 1:04:29 AM,7/20/2022 1:12:39 AM,,
,Rocket,Draft,Tim Reynolds,HRSS - Swoonlight,7/20/2022 12:45:54 AM,,,7/20/2022 12:45:54 AM,,,
,MORNING STAR PROMOTIONS,Draft,Chris Fileti,Power Processing LLC,7/19/2022 8:31:45 PM,,,7/19/2022 8:31:45 PM,,,
8739297060300240,Tortas CM,Approved,Stefany Vargas,"WESTGATE SERVICES, LLC",7/19/2022 6:45:59 PM,7/21/2022 5:27:07 PM,,7/19/2022 6:45:59 PM,7/19/2022 6:45:59 PM,,
8739299330302329,SA CARS CREDIT SALES,Approved,AMBER  RILEY ,AMBER RILEY,7/19/2022 5:46:01 PM,7/20/2022 2:58:00 AM,,7/19/2022 5:46:01 PM,7/19/2022 6:01:01 PM,,
,Kiona Gift & Video,Draft,Julian Lopez,Julian Lopez,7/19/2022 5:43:26 PM,,,7/19/2022 5:43:26 PM,,,
8739299330302343,IVAN'S WINDOW TINTING,Approved,Jesus Carmona,Jesus Carmona,7/19/2022 5:31:12 PM,7/21/2022 2:52:44 AM,,7/19/2022 5:31:12 PM,7/19/2022 5:47:33 PM,,
8739298450300910,Waterford FFA Alumni,Approved,Dave Trumbo,Dave&Joe,7/19/2022 5:23:50 PM,7/21/2022 2:39:47 PM,,7/19/2022 5:23:50 PM,7/20/2022 6:10:57 PM,,
554402050040534,H&M KWIK STOP,Approved,Chris  Franks,Chris Franks,7/19/2022 5:19:44 PM,7/20/2022 12:59:17 AM,,7/19/2022 5:19:44 PM,7/19/2022 5:39:08 PM,,
8739298455300597,Exotic Nails,Approved,Brian Braverman,143- Brian Braverman- 9204,7/19/2022 5:18:12 PM,7/20/2022 2:52:48 AM,,7/19/2022 5:18:12 PM,7/19/2022 5:26:38 PM,,
56310000007914,Patriot Signs,Approved,Steve Sorrell,Steve Sorrell,7/19/2022 5:10:37 PM,7/20/2022 12:41:46 PM,,7/19/2022 5:10:37 PM,7/20/2022 9:38:00 AM,,
554402050040542,WESTON DAVERN CHOP SHOP,Approved,Robby Richardson,Robby Richardson,7/19/2022 5:08:39 PM,7/20/2022 3:25:56 AM,,7/19/2022 5:08:39 PM,7/19/2022 5:27:31 PM,,
554402000694307,Victoria Liquor,Approved,Kamy Jethani,JMS,7/19/2022 4:58:25 PM,7/21/2022 8:42:37 AM,,7/19/2022 4:58:25 PM,7/20/2022 9:20:42 AM,,
8739297575300628,Carpinteria Athletics,Approved,Ross Church,KickFees API,7/19/2022 4:41:37 PM,7/20/2022 12:26:39 PM,,7/19/2022 4:41:37 PM,7/19/2022 4:41:37 PM,,
554402000694323,Thrive Counseling - ONLINE,Approved,Trace Wendell,"Dharma Payment, LLC",7/19/2022 4:38:39 PM,7/21/2022 9:31:06 AM,,7/19/2022 4:38:39 PM,7/19/2022 4:47:28 PM,,
,SPORTS CARTEL BAR & GRILL,Pending,Keenan Hoover,Keenan Hoover,7/19/2022 4:38:38 PM,,,7/19/2022 4:38:38 PM,7/19/2022 5:00:01 PM,,
,Gorman's Heating & Cooling LLC,Pending,Timothy Banks,"Montana Merchant Services, Inc",7/19/2022 4:35:56 PM,,,7/19/2022 4:35:56 PM,7/19/2022 5:04:10 PM,,
8739299330302333,DRAIN CLEANING BROTHERS LLC,Approved,Michael  Blabaum,Michael Blabaum,7/19/2022 4:20:38 PM,7/20/2022 12:14:45 PM,,7/19/2022 4:20:38 PM,7/19/2022 5:10:35 PM,,
,IndyHumane MRVC,Received,Gina Clemmer,Clinic HQ,7/19/2022 4:20:02 PM,,,7/19/2022 4:20:02 PM,7/22/2022 12:59:34 PM,,
554402050040559,QWIK PACK & SHIP,Approved,Robby Richardson,Robby Richardson,7/19/2022 4:18:41 PM,7/20/2022 7:03:06 AM,,7/19/2022 4:18:41 PM,7/19/2022 4:54:23 PM,,
,Galaxy Arizona,Draft,Mark Brown,Mark Brown (Orange Sock),7/19/2022 4:08:17 PM,,,7/19/2022 4:08:17 PM,,,
,Bloody Point Mixing Co.,Pending,Ross Church,Carolina Payments,7/19/2022 4:02:51 PM,,,7/19/2022 4:02:51 PM,7/19/2022 4:02:51 PM,,
8739298720300076,Sooner Freight,Approved,Dave Miley,Integrated Payment Services,7/19/2022 3:59:38 PM,7/22/2022 12:00:57 PM,,7/19/2022 3:59:38 PM,7/19/2022 4:07:57 PM,,
,Rhino Shield Arizona,Draft,Mark Brown,Mark Brown (Orange Sock),7/19/2022 3:59:33 PM,,,7/19/2022 3:59:33 PM,,,
554402000694158,HARVARD SPIRITS & LIQUOR,Approved,Mo Shamout,"POS 360, INC.",7/19/2022 3:54:37 PM,7/20/2022 6:06:32 AM,,7/19/2022 3:54:37 PM,7/19/2022 4:05:50 PM,,
8739290200300014,Payment Operations - MPP Test 8566,Approved,Judson Test Agent,Test Accounts,7/19/2022 3:39:52 PM,7/19/2022 4:13:37 PM,,7/19/2022 3:39:53 PM,7/19/2022 3:42:18 PM,,
56310000007911,STAR INTERNATIONAL,Approved,Alex Shea,Alex Shea,7/19/2022 3:38:26 PM,7/19/2022 5:13:29 PM,,7/19/2022 3:38:27 PM,7/19/2022 3:48:31 PM,,
56610000000656,Payment Operations - MPP Test 5661,Approved,Judson Test Agent,Test Accounts,7/19/2022 3:37:45 PM,7/19/2022 4:12:04 PM,,7/19/2022 3:37:45 PM,7/19/2022 3:38:23 PM,,
554402009789645,Nail by Eva 88 Inc,Approved,Lucy Dong,Universal General,7/19/2022 3:33:50 PM,7/20/2022 9:25:28 AM,,7/19/2022 3:33:50 PM,7/19/2022 3:33:50 PM,,
554402050040526,PLAYFUL PAWS GROOMING,Approved,Gabriel  Grijalva,Gabriel Grijalva,7/19/2022 3:15:34 PM,7/19/2022 6:28:43 PM,,7/19/2022 3:15:34 PM,7/19/2022 3:29:49 PM,,
554402000694141,Grand Nickel Party Store,Approved,Ziad Ibrahim,Ziad Ibrahim,7/19/2022 3:12:10 PM,7/19/2022 6:06:48 PM,,7/19/2022 3:12:11 PM,7/19/2022 3:30:34 PM,,
,RIVERA TIRES OF HOLLYWOOD,Pending,Jo Rivera,Jo Rivera,7/19/2022 3:07:01 PM,,,7/19/2022 3:07:01 PM,7/19/2022 3:15:55 PM,,
554402050040583,WICKED DIESEL,Approved,JESSIE  COMPTON ,JESSIE COMPTON,7/19/2022 2:52:44 PM,7/20/2022 2:11:05 PM,,7/19/2022 2:52:44 PM,7/19/2022 3:07:37 PM,,
,Alpha Travel,Pending,Josh Dempsey,Enhanced Payment Systems LLC,7/19/2022 2:46:20 PM,,,7/19/2022 2:46:20 PM,7/19/2022 2:46:56 PM,,
8739296430300601,All Saints Church,Approved,Mike Galletta,First National Bank of Sycamore,7/19/2022 2:46:03 PM,7/20/2022 8:16:55 PM,,7/19/2022 2:46:04 PM,7/20/2022 9:10:32 AM,,
,RNK Direct Sales,Declined,Jon Saluk,ACCPC - Jonathan Saluk/PPS Pompano Beach,7/19/2022 2:38:04 PM,,,7/19/2022 2:38:04 PM,7/19/2022 3:42:38 PM,7/21/2022 11:57:58 AM,
554402050040708,THE PIRATE BAY TATTOO & BODY PIERCING,Approved,Sidney Warren,Sidney Warren,7/19/2022 2:29:46 PM,7/21/2022 9:03:56 AM,,7/19/2022 2:29:46 PM,7/19/2022 2:40:31 PM,,
,MONROE MOTOR CO.,Draft,Mariah Graham,Team Sparta,7/19/2022 2:26:59 PM,,,7/19/2022 2:27:00 PM,,,
,Health Spa,Declined,Aaron Huang,Aaron Huang(Hao Yuan),7/19/2022 1:50:59 PM,,,7/19/2022 1:50:59 PM,7/19/2022 1:50:59 PM,7/19/2022 4:54:49 PM,
,McClintock Tattoo,Draft,Gary Peterson,Arlington Heights Merchant Banc,7/19/2022 1:45:03 PM,,,7/19/2022 1:45:03 PM,,,
554402000694109,Oswego Area Chamber of Commerce,Approved,Mark Bernstein,"Progressive Business Solutions, LLC",7/19/2022 1:33:36 PM,7/19/2022 4:52:45 PM,,7/19/2022 1:33:36 PM,7/19/2022 2:02:53 PM,,
554402000694125,CALDERON SUPERMARKET RESTAURANT & DELI,Approved,Kirk Gerhardt,Kirk Gerhardt,7/19/2022 1:19:13 PM,7/19/2022 5:23:51 PM,,7/19/2022 1:19:13 PM,7/19/2022 2:05:20 PM,,
,US Respiratory LLC,Pending,Josh Dempsey,Enhanced Payment Systems LLC,7/19/2022 1:01:38 PM,,,7/19/2022 1:01:38 PM,7/19/2022 1:02:15 PM,,
,Sofia Massage,Cancelled,Aaron Huang,Aaron Huang(Hao Yuan),7/19/2022 12:54:11 PM,,,7/19/2022 12:54:11 PM,7/19/2022 12:54:11 PM,,
554402050040518,SAN MIGUEL RESTAURANTE,Approved,Deming Payne,Deming Payne,7/19/2022 12:49:11 PM,7/19/2022 5:47:41 PM,,7/19/2022 12:49:11 PM,7/19/2022 2:08:53 PM,,
,ABDULS AUTO SALES,Pending,AMBER  RILEY ,AMBER RILEY,7/19/2022 12:46:14 PM,,,7/19/2022 12:46:14 PM,7/19/2022 1:18:55 PM,,
56310000007918,Masters Touch Custom Interior,Approved,Robert Zimbalist,SCORE - Robert Zimbalist/CD,7/19/2022 12:39:41 PM,7/20/2022 4:12:14 PM,,7/19/2022 12:39:41 PM,7/19/2022 1:03:20 PM,,
,TRULY KETO,Pending,Mike Segura,HRSS - Group ISO,7/19/2022 12:37:50 PM,,,7/19/2022 12:37:50 PM,7/19/2022 1:07:18 PM,,
,Texas City Massage,Declined,Aaron Huang,Aaron Huang(Hao Yuan),7/19/2022 12:24:32 PM,,,7/19/2022 12:24:32 PM,7/19/2022 12:24:32 PM,7/19/2022 12:58:59 PM,
554402050040500,ADVENTURE CYCLING,Approved,Bruce Robinson,Bruce Robinson2,7/19/2022 12:23:44 PM,7/19/2022 4:22:43 PM,,7/19/2022 12:23:44 PM,7/19/2022 12:45:03 PM,,
56310000007942,AUTO CARE PLUS,Approved,Phyllis Sell,Phyllis Sell,7/19/2022 12:18:33 PM,7/22/2022 10:43:35 AM,,7/19/2022 12:18:33 PM,7/19/2022 12:24:54 PM,,
,HARLEY'S GARAGE,Pending,Bruce Robinson,Bruce Robinson2,7/19/2022 12:16:57 PM,,,7/19/2022 12:16:57 PM,7/19/2022 5:24:51 PM,,
8739297545300084,Highland Cleaners,Approved,Robin Turkell,PCBancard,7/19/2022 12:00:27 PM,7/19/2022 5:19:20 PM,,7/19/2022 12:00:27 PM,7/19/2022 12:02:42 PM,,
8739297545300085,Comet Cleaners,Approved,Robin Turkell,PCBancard,7/19/2022 11:38:43 AM,7/19/2022 5:31:51 PM,,7/19/2022 11:38:43 AM,7/19/2022 11:43:39 AM,,
56310000007910,Dexter's Inn,Approved,Kyle Morgan,MPI,7/19/2022 11:26:43 AM,7/19/2022 3:47:38 PM,,7/19/2022 11:26:43 AM,7/19/2022 11:39:00 AM,,
8739299330302326,SAHEL RESTAURANT & LOUNGE,Approved,Robert Fojo,Robert Fojo,7/19/2022 11:22:49 AM,7/19/2022 4:03:49 PM,,7/19/2022 11:22:49 AM,7/19/2022 11:52:17 AM,,
,samuelson Furniture,Draft,Steve Pollack,ACCPC - Steve Pollack,7/19/2022 10:52:18 AM,,,7/19/2022 10:52:18 AM,,,
8739299330302325,COTTONWOOD PET RESORT,Approved,Ricky Hoffman,Ricky Hoffman - Carbon TM,7/19/2022 10:52:02 AM,7/19/2022 3:38:31 PM,,7/19/2022 10:52:02 AM,7/19/2022 11:21:37 AM,,
554402050040799,CARNICERIA LOS AMIGOS,Approved,Wilmer Gutierrez,Wilmer Gutierrez,7/19/2022 10:50:42 AM,7/21/2022 3:12:51 PM,,7/19/2022 10:50:42 AM,7/19/2022 11:22:37 AM,,
,Quail Run Farm LLC,Draft,Jonathan Gabel,Priority Payments South Florida,7/19/2022 10:50:40 AM,,,7/19/2022 10:50:40 AM,,,
8739292500304480,BOARDWALK PIZZERIA - NZ0,Approved,Louis Montella,Louis Montella NZ0,7/19/2022 10:49:33 AM,7/19/2022 3:33:28 PM,,7/19/2022 10:49:33 AM,7/19/2022 12:38:32 PM,,
,Make Your Mark Customs,Pending,Marc Walker,Liberty Bank,7/19/2022 10:49:01 AM,,,7/19/2022 10:49:01 AM,7/20/2022 12:53:01 PM,,
,Brilliant Alpha Amazing No2,Cancelled,Ella Smith,"HRSS - Adept Payments, Inc",7/19/2022 10:46:03 AM,,,7/19/2022 10:46:03 AM,7/19/2022 10:48:16 AM,,
554402050040492,CARMART AUTOMOTIVE,Approved,Bruce Robinson,Bruce Robinson2,7/19/2022 10:45:07 AM,7/19/2022 2:23:36 PM,,7/19/2022 10:45:07 AM,7/19/2022 10:58:37 AM,,
8739292500304481,ADVANTAGE CHEVROLET - SERVICE & PARTS,Approved,Ken Wood,Ken Wood,7/19/2022 10:39:14 AM,7/19/2022 5:33:40 PM,,7/19/2022 10:39:14 AM,7/19/2022 11:38:39 AM,,
,Alpha Beauty Perfect Look,Cancelled,Ella Smith,"HRSS - Adept Payments, Inc",7/19/2022 10:35:24 AM,,,7/19/2022 10:35:24 AM,7/19/2022 10:48:23 AM,,
,Alpha Awesome Couture Shape,Cancelled,Ella Smith,"HRSS - Adept Payments, Inc",7/19/2022 10:27:02 AM,,,7/19/2022 10:27:02 AM,7/19/2022 10:48:33 AM,,
,Castaways Island Rentals LLC,Draft,Jonathan Gabel,Priority Payments South Florida,7/19/2022 10:24:33 AM,,,7/19/2022 10:24:33 AM,,,
,TEXAS RECYCLING SOLUTIONS,Pending,AKRH Holdings,AKRH Holdings,7/19/2022 10:23:04 AM,,,7/19/2022 10:23:04 AM,7/19/2022 11:18:10 AM,,
554402000694117,Dairy Queen of New Smyrna,Approved,David Campbell,Merchant Advantage Technologies,7/19/2022 10:13:30 AM,7/19/2022 4:53:20 PM,,7/19/2022 10:13:30 AM,7/19/2022 1:41:24 PM,,
,PART OF THE VINE MINISTRIES,Pending,David  Leighton,David leighton,7/19/2022 10:09:13 AM,,,7/19/2022 10:09:14 AM,7/19/2022 12:59:33 PM,,
,Big Boys Toys Hernando Beach,Pending,Pam Farmer,Banc Card of America,7/19/2022 10:04:58 AM,,,7/19/2022 10:04:58 AM,7/22/2022 8:20:46 AM,,
8739299330302323,RASPADOS HAWAIIAN LLC,Approved,Justin Lowrance,Justin Lowrance,7/19/2022 10:02:59 AM,7/19/2022 1:41:36 PM,,7/19/2022 10:02:59 AM,7/19/2022 10:29:21 AM,,
8739293600300534,Dave's Cleaners,Approved,Charles Motz,Charles Motz,7/19/2022 10:00:00 AM,7/20/2022 6:31:19 AM,,7/19/2022 10:00:00 AM,7/19/2022 4:17:24 PM,,
554402000694067,Wilber's,Approved,William Jeeves,WILLIAM JEEVES,7/19/2022 9:49:50 AM,7/19/2022 12:41:37 PM,,7/19/2022 9:49:50 AM,7/19/2022 10:57:50 AM,,
8739292500304482,ADVANTAGE CHEVROLET - NZ0,Approved,Ken Wood,Ken Wood NZ0,7/19/2022 9:32:33 AM,7/19/2022 5:46:10 PM,,7/19/2022 9:32:33 AM,7/19/2022 11:33:44 AM,,
,Mona Mint Co,Pending,Abby  Rodriguez,Digipay,7/19/2022 9:29:51 AM,,,7/19/2022 9:29:51 AM,7/19/2022 9:32:32 AM,,
,Northside Village,Under Review,Hunt Halford,Level 3 Transactions,7/19/2022 9:27:27 AM,,,7/19/2022 9:27:27 AM,7/21/2022 1:48:03 PM,,
8739297430301962,Dragon's Den TCG,Approved,Melissa  Cordova,Binder POS,7/19/2022 9:25:59 AM,7/19/2022 11:28:29 AM,,7/19/2022 9:25:59 AM,7/19/2022 9:32:37 AM,,
8739297575300627,Jalisco Tienia Y Torilleria,Approved,Ross Church,Carolina Payments,7/19/2022 8:38:13 AM,7/20/2022 9:01:41 AM,,7/19/2022 8:38:13 AM,7/19/2022 8:38:13 AM,,
8739296600300098,Mi Pueblo on Wheels,Approved,Ryan Lockee,Consistent Growth,7/19/2022 8:38:10 AM,7/21/2022 7:55:13 AM,,7/19/2022 8:38:10 AM,7/19/2022 8:02:59 PM,,
,ABUNDANT LIVING ORGANIC FOODS,Pending,Genesis Blanco,AMS HOUSE,7/19/2022 8:37:15 AM,,,7/19/2022 8:37:15 AM,7/19/2022 8:40:36 AM,,
,Galaxy Indiana,Draft,Mark Brown,Mark Brown (Orange Sock),7/19/2022 7:29:12 AM,,,7/19/2022 7:29:12 AM,,,
,Holiday Liquor,Draft,Muhammed Haque,Priority Payment Systems Golden State,7/19/2022 3:05:33 AM,,,7/19/2022 3:05:33 AM,,,
8739298450300909,Queens Of Nails,Approved,Julian Lopez,Julian Lopez,7/19/2022 12:56:10 AM,7/19/2022 3:12:33 PM,,7/19/2022 12:56:11 AM,7/19/2022 11:23:20 AM,,
554402000694083,Great Western Screen Printing,Approved,Scott Espenship,Priority Payments Florida East Coast,7/19/2022 12:11:52 AM,7/19/2022 4:28:23 PM,,7/19/2022 12:11:52 AM,7/19/2022 12:27:28 AM,,
