DBA,Date Added,XMID,Assigned To,Date Created,Date Submitted,Date Approved,Date Closed,Status,Portfolio,Date Assigned
Marsh Propane - Kingsport,6/18/2020 3:36:25 PM,554402000592832,Tom  Ellison,6/18/2020 3:36:25 PM,6/22/2020 12:23:07 PM,6/22/2020 7:08:27 PM,,Approved,E-Innovations 2,
Marsh Propane - Mountain City,6/18/2020 3:52:59 PM,554402000592824,Tom  Ellison,6/18/2020 3:52:59 PM,6/22/2020 12:12:53 PM,6/22/2020 7:03:42 PM,,Approved,E-Innovations 2,
Marsh Propane - Princeton,6/18/2020 4:01:20 PM,554402000592808,Tom  Ellison,6/18/2020 4:01:20 PM,6/22/2020 11:54:45 AM,6/22/2020 6:52:01 PM,,Approved,E-Innovations 2,
Med Pak,1/3/2013 4:01:29 PM,518089240649541,Tom Ellison,1/3/2013 4:01:29 PM,1/3/2013 4:07:02 PM,1/4/2013 3:32:58 PM,4/15/2013 10:31:46 AM,Approved,E-Innovations 2,
Med Pak,7/1/2011 1:10:40 PM,518089240500785,Tom Ellison,7/1/2011 1:10:40 PM,7/1/2011 1:14:58 PM,7/1/2011 4:52:50 PM,1/22/2013 4:52:56 PM,Closed,E-Innovations 2,
Mill Chem Manufacturing,3/28/2012 4:41:00 PM,518089240570796,Tom  Ellison,3/28/2012 4:41:01 PM,3/28/2012 5:11:24 PM,3/30/2012 11:17:30 AM,,Approved,E-Innovations 2,
Net 100 Ltd,5/14/2012 3:03:17 PM,518089240585661,Tom Ellison,5/14/2012 3:03:17 PM,5/14/2012 4:11:47 PM,5/16/2012 4:44:32 PM,,Approved,E-Innovations 2,
"Palmer Wahl Instruments, Inc.",7/30/2020 1:31:24 PM,554402000599076,Tom  Ellison,7/30/2020 1:31:24 PM,7/30/2020 1:54:29 PM,8/6/2020 1:01:59 PM,11/21/2020 7:52:24 AM,Closed,E-Innovations 2,
"Palmer Wahl Instruments, Inc.",11/9/2020 2:41:39 PM,554402000613653,Tom  Ellison,11/9/2020 2:41:39 PM,11/9/2020 2:46:04 PM,11/10/2020 1:20:08 PM,,Approved,E-Innovations 2,
Poe Supply,6/12/2017 4:04:28 PM,554402000400853,Tom  Ellison,6/12/2017 4:04:28 PM,6/12/2017 4:22:41 PM,6/13/2017 1:26:49 PM,,Approved,E-Innovations 2,
